Language,Country,Region/State,City,Category,Subcategory,Provider,Vocalizing,URL
RU,Россия,,,Заметки,Бизнес,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/business.xml
RU,Россия,,,Деловые новости,Бизнес,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/busnews.xml
RU,Россия,,,Заметки,Общество,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/social.xml
RU,Россия,,,Новости,Общество,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/social_more.xml
RU,Россия,,,Заметки,Путешествия,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/travel_articles.xml
RU,Россия,,,Личный опыт,Путешествия,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/travel_lo.xml
RU,Россия,,,Новости,Путешествия,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/travel_news.xml
RU,Россия,,,Заметки,Технологии,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/tech_articles.xml
RU,Россия,,,Новости,Технологии,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/tech_news.xml
RU,Россия,,,Заметки,Недвижимость,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/realty.xml
RU,Россия,,,Новости,Недвижимость,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/realty_news.xml
RU,Россия,,,Мнения,,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/comments.xml
RU,Россия,,,Заметки,Культура,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/culture.xml
RU,Россия,,,Новости,Культура,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/culture_more.xml
RU,Россия,,,Заметки,Наука,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/science.xml
RU,Россия,,,Новости,Наука,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/science_more.xml
RU,Россия,,,Заметки,Авто,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/auto.xml
RU,Россия,,,Новости,Авто,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/autonews.xml
RU,Россия,,,Тестдрайвы,Авто,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/auto_testdrive.xml
RU,Россия,,,Заметки,Здоровье,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/health_articles.xml
RU,Россия,,,Новости,Здоровье,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/health_news.xml
RU,Россия,,,Авторские колонки,,Gazeta.ru,Газета ру,http://www.gazeta.ru/export/rss/kolonka.xml
RU,Россия,,Екатеринбург,Все новости,,е1,Новости Е1,http://www.e1.ru/talk/forum/rss.php?f=9
